#options: 1280x720 fps=144/1 timebase=1/144 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=22 lookahead_threads=5 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=8 b_pyramid=2 b_adapt=2 b_bias=0 direct=3 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=60 rc=abr mbtree=1 bitrate=3567 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:120 out:121 type:b dur:2 cpbdur:2 q:34.49 aq:29.84 tex:4028 mv:9748 misc:2392 imb:128 pmb:667 smb:2805 d:- ref:0 ;
in:124 out:122 type:P dur:2 cpbdur:2 q:34.40 aq:27.00 tex:46527 mv:18714 misc:2863 imb:1343 pmb:888 smb:1369 d:s ref:0 ;
in:122 out:123 type:B dur:2 cpbdur:2 q:34.45 aq:27.88 tex:5370 mv:10913 misc:2517 imb:246 pmb:662 smb:2692 d:s ref:0 ;
in:123 out:124 type:b dur:2 cpbdur:2 q:34.43 aq:29.93 tex:4089 mv:10349 misc:2266 imb:162 pmb:661 smb:2777 d:- ref:0 ;
in:127 out:125 type:P dur:2 cpbdur:2 q:34.28 aq:26.03 tex:39097 mv:17125 misc:3098 imb:1018 pmb:912 smb:1670 d:s ref:0 ;
in:125 out:126 type:B dur:2 cpbdur:2 q:34.36 aq:27.20 tex:3987 mv:9679 misc:2206 imb:150 pmb:615 smb:2835 d:s ref:0 ;
in:126 out:127 type:b dur:2 cpbdur:2 q:34.32 aq:28.04 tex:2012 mv:7146 misc:1850 imb:89 pmb:497 smb:3014 d:- ref:0 ;
in:130 out:128 type:P dur:2 cpbdur:2 q:34.14 aq:26.08 tex:50349 mv:18469 misc:2830 imb:1256 pmb:935 smb:1409 d:s ref:0 ;
in:128 out:129 type:B dur:2 cpbdur:2 q:34.23 aq:27.24 tex:3947 mv:9455 misc:2174 imb:151 pmb:622 smb:2827 d:s ref:0 ;
in:129 out:130 type:b dur:2 cpbdur:2 q:34.18 aq:28.19 tex:2245 mv:8153 misc:2010 imb:107 pmb:575 smb:2918 d:- ref:0 ;
in:133 out:131 type:P dur:2 cpbdur:2 q:34.01 aq:25.63 tex:41772 mv:17722 misc:2858 imb:1074 pmb:933 smb:1593 d:s ref:0 ;
in:131 out:132 type:B dur:2 cpbdur:2 q:34.10 aq:26.34 tex:3311 mv:9161 misc:2120 imb:133 pmb:613 smb:2854 d:t ref:0 ;
in:132 out:133 type:b dur:2 cpbdur:2 q:34.05 aq:28.69 tex:2103 mv:7253 misc:1796 imb:59 pmb:553 smb:2988 d:- ref:0 ;
in:136 out:134 type:P dur:2 cpbdur:2 q:33.82 aq:25.31 tex:51226 mv:19587 misc:2859 imb:1119 pmb:1047 smb:1434 d:s ref:0 ;
